article,source_photo,date
Україна молода (Украина): за внешние связи Байдена будут отвечать женщины,,02.12.2020
Iravunk (Армения): альтернативой вхождению Армении в союз России и Белоруссии является война,"© CC BY-SA 2.0, photo courtesy of the Swiss Parliament/Fabio Chironi)",02.12.2020
"Капитан 1-го ранга ВМС США в отставке Табах: Что произошло в 2014 году между РФ и Украиной? Один человек решил увеличить популярность среди крепостного населения и начал войну (Гордон, Украина)","© РИА Новости, Сергей Гунеев",02.12.2020
"Мы придем за вами и вашими детьми: «Правый сектор»* угрожает на Закарпатье (Вести, Украина)","© РИА Новости, Стрингер",03.12.2020
Neue Zürcher Zeitung (Швейцария): на севере наращивают вооружения,"© CC BY-SA 2.0, NATO North Atlantic Treaty Organization",03.12.2020
Победа над ядерным злом,,01.07.2011
Россия создаст две бригады для охраны Арктики,© www.flickr.com,02.07.2011
"The Times (Великобритания): США не могут допустить, чтобы Китай выиграл новую космическую гонку",,03.12.2020
"«Не верь, не бойся, не проси»: таков будет подход России к новой администрации США",,02.12.2020
«Булава» и «Курск»: траектория путинского проекта,,03.07.2011
Продажа вооружений России бросает вызов НАТО,,01.07.2011
"Daily Mail (Великобритания): Путин любит говорить, будто демократия устарела. А теперь поверить не может своей удаче","© РИА Новости, Стрингер",11.01.2021
Die Welt (Германия): Путин мог бы передать Швезиг «Золотого Пиноккио»,,11.01.2021
Do Rzeczy (Польша): шаурма у Сталина,,11.01.2021
L'Opinion (Франция): Германия собирается обойти американские санкции против «Северного потока — 2»,"© РИА Новости, Алексей Витвицкий",11.01.2021
The Hill (США): Россия должна стать частью ответа США на европейскую кампанию Китая,"© РИА Новости, Ирина Калашникова",11.01.2021
Печат (Сербия): конец газовой войне на Балканах,© TurkStream,11.01.2021
The National Interest (США): Джо Байден и украинская проблема,"© AFP 2020, VALENTYN OGIRENKO",11.01.2021
Запад пытается успокоить Россию по ПРО, | Перейти в фотобанк,06.07.2011
Open Democracy (Великобритания): в Украине впервые заработала гендерная квота на выборах. Каков ее результат?,"© РИА Новости, Стрингер",01.12.2020
"Пентагон: ОАЭ финансируют таинственных русских «наемников» в Ливии (Foreign Policy, США)","© CC BY-SA 3.0, Patrick André Perron",01.12.2020
"«Это шантаж. Но у нас нервы крепкие». Почему сорвался обмен пленными до Нового года (Лiга, Украина)","© РИА Новости, Евгений Котенко",02.12.2020
The National Interest (США): Азербайджану конец?,"© РИА Новости, Алексей Куденко",02.12.2020
"Хуаньцю шибао (Китай): объяснять Австралии, что есть добро, а что зло, слишком утомительно и бесполезно","© AFP 2020, GREG BAKER",02.12.2020
Нихон кэйдзай (Япония): 2021 год будет трудным для внешней политики Японии,"© РИА Новости, Валерий Мельников",02.12.2020
Newsweek Polska (Польша): «Российская партия» в Польше претворяет в жизнь сценарии Путина,,02.12.2020
"Советская грамота. Копируют ли Россия и Китай законы друг друга (Carnegie Moscow Center, Россия)","© РИА Новости, Сергей Мамонтов",02.12.2020
"China Times (Тайвань): в этом году военные расходы на душу населения в Тайване составили 14 500 юаней. Совершив сделку на 11,8 миллиарда долларов, по данным АИТ, Тайвань стал крупнейшим военным покупателем США","© CC BY-SA 2.0, The U.S. Army",02.12.2020
The New York Times (США): в мирном соглашении по Нагорному Карабаху Путин применил новый ловкий подход,"© РИА Новости, Максим Блинов",02.12.2020
"Карабах: трудное возвращение раненых и искалеченных солдат в Армению (Marianne, Франция)","© РИА Новости, Илья Питалев",02.12.2020
Еспресо (Украина): проблема — не в Украине,"© РИА Новости, Илья Питалев",02.12.2020
"Три измерения помощи Украине: чего ждут в Киеве от Америки Байдена (Европейська правда, Украина)",,02.12.2020
"Стратегический доклад НАТО: под знаком России и Китая (Frankfurter Allgemeine Zeitung, Германия)",,02.12.2020
"Дневник (Болгария): «экстерриториальная война, выигранная турками» изменила конфликты XXI века","© РИА Новости, Сергей Гунеев",02.12.2020
"История аэропорта ""Внуково"" в фотографиях",,06.07.2011
Цензор.НЕТ (Украина): Путина убьют в Кремле,,02.12.2020
Defence 24 (Польша): Россия сформирует в Калининградской области новую дивизию, | Перейти в фотобанк,02.12.2020
"Избранный президент Молдавии Майя Санду: «Стабильность в Молдавии на руку и России, и ЕС» (El Mundo, Испания)",,02.12.2020
"Страна (Украина): штрафы, угрозы, стукачество. Как власти собираются заставить говорить на украинском учителей и сферу услуг","© РИА Новости, Стрингер",02.12.2020
"Путинский «Северный поток — 2»: Швезиг хочет перехитрить американское правительство (Bild, Германия)",,02.12.2020
Украинский праздник в российском «фарватере»,,06.07.2011
МВД Грузии: задержанные фотографы были агентами России,,09.07.2011
Делаем ставки на президента,"© РИА Новости, ",10.07.2011
«Белорусский ответ» Кремля на американскую ПРО,,10.07.2011
ПРО: обратный отсчет начался,,09.07.2011
Медведев призывает покупать вооружение за рубежом, | Перейти в фотобанк,13.07.2011
"Конструктор ракет считает, что невозможно выполнить госзаказ на 2011 год",,07.07.2011
Россия модернизирует свой арсенал баллистических ракет,© armor.yurteh.net,12.07.2011
Печат (Сербия): фармацевтическая холодная война,,01.12.2020
Yle (Финляндия): в ожидании преемника Лукашенко, | Перейти в фотобанк,01.12.2020
Anadolu (Турция): ВС Турции помогают азербайджанской армии разминировать территории,"© РИА Новости, Алексей Куденко",01.12.2020
Проблема мигрантов расколола Евросоюз,,01.12.2020
Anadolu (Турция): президент Эрдоган принял премьер-министра Украины Шмыгаля,,01.12.2020
"Ильвес: Эстонией руководит необразованное, невежественное, застрявшее в средневековье «Талибана»* (Delfi.ee, Эстония)",,01.12.2020
"Виталий Портиков: Путин хочет остаться в Молдове. И в Украине тоже (Еспресо, Украина)","© РИА Новости, Сергей Кузнецов",01.12.2020
Rai Al Youm (Великобритания): зачем Кушнер отправляется в Саудовскую Аравию и Катар сразу после убийства иранского ученого-ядерщика Фахризаде,"© РИА Новости, Алексей Агарышев",01.12.2020
Forbes (США): почему пулемет с дистанционным управлением идеально подошел для покушения на иранского ученого-ядерщика,"© CC BY-SA 2.0, U.S. Army National Guard photo by Sgt. Jeff Clements",01.12.2020
Die Welt (Германия): «Мегафонная дипломатия». Россия обвиняет Германию в кампании по дезинформации,"© РИА Новости, Алексей Витвицкий",01.12.2020
"Жан-Люк Меланшон: «Моя программа национальной обороны» (L'Opinion, Франция)",,01.12.2020
"Мнение президента Эстонии: Европе нужно быть «напористой» в отношениях с Россией (Financial Times, Великобритания)","© AFP 2020, MICHELE TANTUSSI ",01.12.2020
Грузия online (Грузия): тайная сделка с Россией – из-за Гаврилова власти опять задерживают молодежь,"© CC0 / Public Domain, pixabay",01.12.2020
Haqqin (Азербайджан): Ильхам Алиев предложил Франции передать Марсель армянам, | Перейти в фотобанк,01.12.2020
"Тема для размышления: останется ли Республика Армения на политической карте мира? (Zham, Армения)","© РИА Новости, Илья Питалев",01.12.2020
Frankfurter Allgemeine Zeitung (Германия): перезагрузка с Америкой,,01.12.2020
Jiji Press (Япония): премьер Суга принял очередное прошение «с мест» о скорейшем решении «территориальной проблемы»,"© РИА Новости, Сергей Красноухов",01.12.2020
Haqqin (Азербайджан): о наших потерях во Второй Карабахской войне,"© РИА Новости, Алексей Куденко",01.12.2020
"Министр иностранных дел Украины Кулеба в интервью «Анадолу» прокомментировал ситуацию в Крыму и на Донбассе: Турция на нашей стороне (Anadolu, Турция)",,01.12.2020
Медведев взялся за устаревший ВПК,,14.07.2011
"Le Figaro (Франция): бесконечная ссылка детей, рожденных в ГУЛАГе","© РИА Новости, Алексей Майшев",01.12.2020
Гагарин на улице Мэлл в Лондоне,,14.07.2011
Россия запускает космический радиотелескоп,,18.07.2011
Смертельные последствия нового Договора СНВ,,12.08.2011
Учебно-методические сборы водолазов-взрывников на Байкале,,11.08.2011
"Что будет, если Китай решит отобрать у России Сибирь и Дальний Восток?",,15.08.2011
Учения Черноморского флота РФ в Севастополе,,21.07.2011
В оборонной промышленности России по-прежнему бардак,,16.07.2011
Царская мудрость,"© РИА Новости, Владимир Вяткин",20.07.2011
Около 200 тысяч российских юношей пытаются избежать службы в армии, | Перейти в фотобанк,18.07.2011
"Новый альянс сил: Россия, Германия и Франция", | Перейти в фотобанк,22.07.2011
Новое время страны (Украина): 150 лет восстания против Российской империи. Как Польша боролась за свободу,"© CC0 / Public Domain, ",01.12.2020
Посол Испании: поляки заслуживают сочувствия за страдания времен Второй мировой войны (Polskie Radio),"© РИА Новости, Алексей Витвицкий",30.11.2020
Dagens Industri (Швеция): постройте «Балтийский купол», | Перейти в фотобанк,01.12.2020
wPolityce (Польша): украинцы отмечают День памяти жертв голодомора — одного из самых страшных советских преступлений,"© РИА Новости, Петр Задорожный",01.12.2020
"Foreign Policy (США): у Байдена такая команда, какую всегда хотел Обама","© РИА Новости, Михаил Палинчак",01.12.2020
Хуаньцю шибао (Китай): администрации Байдена следует отказаться от термина «Индо-Тихоокеанский регион» и восстановить концепцию «Азиатско-Тихоокеанского региона»,,01.12.2020
"Noonpost (Египет): убийство Фахризаде. Причины, послания и сомнения по поводу ответа Ирана",,01.12.2020
Le Journal du Dimanche (Франция): бывшая сожительница Павленского обвиняет его в насилии,"© AFP 2020, MARTIN BUREAU",30.11.2020
Advance (Хорватия): куда движется Киргизия после «октябрьской» революции?, | Перейти в фотобанк,01.12.2020
Die Presse (Австрия): как банк превращается в технологического гиганта,"© РИА Новости, Максим Блинов",01.12.2020
The New Yorker (США): гений Путина,"© РИА Новости, Михаил Климентьев",01.12.2020
Главред (Украина): чего Украине и миру ждать от новой администрации Байдена, | Перейти в фотобанк,01.12.2020
Bloomberg (США): беспилотники меняют соотношение сил и повышают риски в малых войнах, | Перейти в фотобанк,01.12.2020
"AVA (Молдавия): Додон, Кремль и русскоязычные граждане Молдавии","© РИА Новости, Михаил Климентьев",01.12.2020
Белорусские новости (Белоруссия): выпустит ли Лукашенко Бабарико? Политические узники как товар для режима,,01.12.2020
The National Interest (США): для Нагорного Карабаха Косово не является прецедентом,"© РИА Новости, Максим Блинов",01.12.2020
Корреспондент (Украина): США ввели санкции против украинцев,"© РИА Новости, Стрингер",11.01.2021
"Fox News (США): всплыла фотография, на которой пресс-секретарь Байдена Джен Псаки позирует в ушанке с серпом и молотом","© CC BY-SA 2.0,  U.S. Department of State",01.12.2020
El País (Испания): президент Молдавии призывает к выводу российских войск из сепаратистского Приднестровья,,01.12.2020
Polskie Radio (Польша): США поддерживают инициативу «Троеморья»,"© РИА Новости, Алексей Витвицкий",01.12.2020
CNN (США): нижняя палата Конгресса – проект решения об импичменте в отношении Дональда Трампа,"© РИА Новости, Стрингер",11.01.2021
Печат (сербия): объятия медведя со змеем,"© РИА Новости, Алексей Дружинин",11.01.2021
Политика (Сербия): вперед — в прошлое,"© РИА Новости, Константин Михальчевский",12.01.2021
Le Monde (Франция): к власти в Киргизии пришел лидер киргизских «патриотов» Садыр Жапаров, | Перейти в фотобанк,12.01.2021
Le Figaro (Франция): жесткая позиция стран Европы нужна для сдерживания турецкого интервенционизма,,12.01.2021
"Кулеба: Крым для России — открытая рана, мы хорошо насыпали на нее соли. Интервью (Обозреватель, Украина)","© РИА Новости, Михаил Воскресенский",12.01.2021
"Американские писатели о Байдене: на Украине надеются, что США решат проблему с Россией (Апостроф, Украина)","© РИА Новости, Алексей Дружинин",30.11.2020
Bild (Германия): Россия упрекает Аннегрет Крамп-Карренбауэр в «недееспособности»,"© РИА Новости, Стрингер",30.11.2020
Цензор.НЕТ (Украина): всемирный заговор против Украины,"© РИА Новости, Наталья Селиверстова",30.11.2020
"Пашинян: «Араик сказал, что надо остановить войну. Я позвонил Путину. А он Алиеву». Сенсационное откровение (Haqqin, Азербайджан)","© РИА Новости, Сергей Гунеев",30.11.2020
Первый армянский информационный (Армения): Никол Пашинян коснулся вопроса компромиссов в карабахском конфликте,"© РИА Новости, Сергей Гунеев",30.11.2020
"Россия на грани: разоблачен план Москвы по завоеванию мира, Путину «есть от чего занервничать» (Daily Express, Великобритания)","© РИА Новости, Оксана Джадан",30.11.2020
"Премьер-министр Украины Денис Шмыгаль: с Турцией рано или поздно будет свободная торговля (Star, Турция)",,30.11.2020
"The Hill (США): запустив свой зонд «Чанъэ-5», Китай совершил гигантский скачок вперед в гонке на Луну",,30.11.2020
Delfi.lt (Литва): как в России предсказали распад Америки,"© РИА Новости, Стрингер",30.11.2020
ABC.au (Австралия): Россию обвинили в лицемерии из-за ее критики в адрес Австралии за военные преступления ее солдат в Афганистане,"© РИА Новости, Владимир Песня",30.11.2020
"Habertürk (Турция): Русские нажали на кнопку, и для Пашиняна начался обратный отсчет","© РИА Новости, Сергей Гунеев",30.11.2020
Geopolitika.news (Хорватия): Центральная Европа в фокусе американской политики,"© РИА Новости, Алексей Витвицкий",30.11.2020
"Конфликт вокруг Нагорного Карабаха: «Россия своего добилась» (Frankfurter Rundschau, Германия)","© РИА Новости, Максим Блинов",30.11.2020
РБК-Україна (Украина): Санду потребовала вывести войска РФ из Приднестровья,"© AFP 2020, Daniel MIHAILESCU",30.11.2020
Rai Al Youm (Великобритания): убийство автора иранского ядерного проекта может спровоцировать радикальные изменения на Ближнем Востоке,"© РИА Новости, Виталий Невар",30.11.2020
"Страна (Украина): европейский газ течет в Россию. Лучшие цитаты Джен Псаки, которая вернется в Белый дом","© AFP 2020, Brendan SMIALOWSKI",30.11.2020
"США и Россия: борьба за трубопровод (The Wall Street Journal, США)","© РИА Новости, Алексей Витвицкий",30.11.2020
Frankfurter Allgemeine Zeitung (Германия): Россия нехотя борется с климатическими изменениями,"© РИА Новости, Павел Львов",12.01.2021
Le Figaro (Франция): Россия потеряла контроль над ближним зарубежьем?,"© РИА Новости, Алексей Никольский",30.11.2020
Foreign Policy (США): промежуточный табель успеваемости Зеленского,"© РИА Новости, Стрингер",30.11.2020
La Vanguardia (Испания): ложка от Бога,"© РИА Новости, Стрингер",28.11.2020
Atlantic Council (США): как Запад должен вести себя с Россией,"© РИА Новости, Юки Ивамура",30.11.2020
Жэньминь жибао (Китай): демократия по-американски нанесла удар по «демократии»,,12.01.2021
Sabah (Турция): окружение или сотрудничество,,28.11.2020
Foreign Affairs (США): значение Киссинджера,,28.11.2020
"Саманта Пауэр: что может сейчас Америка? Американские возможности и шансы Байдена (часть 1) (Foreign Affairs, США)",,28.11.2020
The National Interest (США): как Байден должен ответить на жесткие меры в отношении российского гражданского общества?,"© РИА Новости, Евгения Новоженина",28.11.2020
"CNN (США):  неандертальцы пользовались руками, но не совсем так, как человек","© CC0 / Public Domain, sgrunden / Pixabay",28.11.2020
"Казак, архангел и лев: что пытаются впихнуть в Большой герб (Апостроф, Украина)","© РИА Новости, Евгений Биятов",28.11.2020
Estadão (Бразилия): Латинская Америка ищет своё место в космосе,"© РИА Новости, Александр Моклецов",29.11.2020
Bloomberg (США): наступление эры Байдена и размолвки с Россией вновь подталкивают Турцию к укреплению связей с Западом,"© РИА Новости, Сергей Гунеев",29.11.2020
Project Syndicate (США): дорожная карта стабилизации китайско-американских отношений,"© РИА Новости, Юки Ивамура",28.11.2020
"Война на Кавказе: суицид Армении и «доктрина Примакова» (Público, Испания)","© РИА Новости, Алексей Куденко",28.11.2020
Страна (Украина): польский бунт и черная метка от Сороса. К чему приведет нарастающий конфликт ЕС с Варшавой и Будапештом,"© РИА Новости, Алексей Витвицкий",29.11.2020
Lragir (Армения): отказ от этого шага в 1994 году был непростительной ошибкой,"© РИА Новости, Максим Блинов",28.11.2020
"Саманта Пауэр: что может сейчас Америка? Американские возможности и шансы Байдена (часть 2) (Foreign Affairs, США)",,29.11.2020
The Week (Великобритания): Россия готовится украсть независимость Белоруссии прямо под носом у Евросоюза?,"© РИА Новости, POOL",29.11.2020
CTXT (Испания): право на аборт узаконено в Аргентине,,12.01.2021
ETC (Швеция): членство в НАТО — неверный путь,"© CC BY-SA 2.0, NATO North Atlantic Treaty Organization",12.01.2021
The Wall Street Journal (США): роль России в обеспечении мира в Нагорном Карабахе вселяет надежду – и вызывает горечь,"© РИА Новости, Максим Блинов",30.11.2020
Истребитель не взлетел,,22.08.2011
Хуаньцю шибао (Китай): Помпео может заставить время тайваньских властей начать обратный отсчет,"© CC BY-SA 2.0, emperornie",12.01.2021
"Hamshahri (Иран): ранее Иран не доверял российской вакцине, теперь намерен ее производить", | Перейти в фотобанк,30.11.2020
Главред (Украина): Россия крупно облажалась в Нагорном Карабахе,"© РИА Новости, Максим Блинов",30.11.2020
"Foreign Affairs (США): Китай считает, что Америка проигрывает",,30.11.2020
"La Croix (Франция): история за фотографией, которая стала символом борьбы армян в Нагорном Карабахе",© Photo : official site of the MoD of RA,29.11.2020
Окна ТАСС: Советские плакаты времен Великой Отечественной войны,,22.08.2011
"Инцидент на ""МАКС-2011"": истребитель пятого поколения прекратил взлет",,22.08.2011
Ядерный удар в России – это вопрос времени,,22.08.2011
Еспресо (Украина): «Северного потока — 2» пока что не будет,"© РИА Новости, Алексей Витвицкий",27.11.2020
"Участники и итоги авиасалонов ""МАКС""",,23.08.2011
Carnegie Moscow Center (Россия): после штурма Капитолия. Что означает для России политический кризис в США,,12.01.2021
Проект первого космического отеля,,23.08.2011
Frankfurter Rundschau (Германия): длинный поводок Путина,"© РИА Новости, Алексей Никольский",27.11.2020
Foreign Policy (США): результаты выборов в Молдавии – это удар по доминирующей роли России в регионе,"© РИА Новости, Максим Блинов",27.11.2020
Do Rzeczy (Польша): махина советской лжи,"© CC0 / Public Domain, ",27.11.2020
The Armenian Mirror Spectator (США): что произошло и почему? Шесть тезисов,"© РИА Новости, Илья Питалев",27.11.2020
"Неоконченный кризис. Как белорусские протесты могут изменить отношения России и ЕС (Carnegie Moscow Center, Россия)",,27.11.2020
"Официальный представитель МИД Франции Мюль: мы не признаем так называемую «Нагорно-Карабахскую Республику» (Anadolu, Турция)","© РИА Новости, Стрингер",27.11.2020
"Al Jazeerа (Катар): Саудовская Аравия раскрыла информацию о генералах, причастных к коррупционным нарушениям в Министерстве обороны страны","© РИА Новости, Сергей Гунеев",27.11.2020
Telegraf.by (Белоруссия): Байден пригласил Тихановскую на свою инаугурацию президента США,,27.11.2020
Wirtualna Polska (Польша): Россия и Белоруссия ответят на санкции, | Перейти в фотобанк,27.11.2020
"Le Figaro (Франция): «Черные американцы — хозяева своей судьбы, несмотря на препятствия»","© РИА Новости, Брайан Смит",27.11.2020
Info (Чехия): Россия вступает в эру «пикового» путинизма,"© РИА Новости, Илья Наймушин",27.11.2020
AgoraVox (Франция): Донбассу угрожает новое наступление со стороны Украины?,"© РИА Новости, Валерий Мельников",27.11.2020
"Таджикистан: визит Рустама Эмомали в Россию указывает на его растущую роль (Eurasianet, США)",,27.11.2020
Al Arabiya (ОАЭ): европейцы призывают «задушить» Турцию в ответ на ее нарушения,"© РИА Новости, Алексей Витвицкий",27.11.2020
Noonpost (Египет): что вы не знали о победителе в войне в Нагорном Карабахе Ильхаме Алиеве,"© РИА Новости, Сергей Гунеев",27.11.2020
АрмiяINFORM (Украина): приднестровский сепаратизм на русских штыках,"© РИА Новости, Сергей Кузнецов",27.11.2020
Kathimerini (Греция): Турция захватывает плацдарм на Кавказе,"© РИА Новости, Наталья Селиверстова",27.11.2020
American Thinker (США): в Америку возвращается феодализм?,,12.01.2021
"Резолюции по Крыму и Донбассу: Украина призывает ОБСЕ «давить» на Россию (Укрiнформ, Украина)","© РИА Новости, Макс Ветров",27.11.2020
Тихановская выступила против «ошибочной ассоциации» Белоруссии с Россией,,12.01.2021
The Times of Israel (Израиль): предполагаемый глава иранской ядерной программы убит близ Тегерана,,27.11.2020
"Алексей Арестович: Украина дает России «золотой мост», чтобы уйти из Донбасса (Главред, Украина)",,12.01.2021
JB Press (Япония): американская демократия скатилась на уровень демократии банановой республики,"© РИА Новости, Стрингер",12.01.2021
"НАТО против России: кто кого переиграет в 2021 году? (Polityka, Польша)","© РИА Новости, Михаил Метцель/POOL",12.01.2021
Дума (Болгария): плохо скрытое удовлетворение,"© РИА Новости, Стрингер",12.01.2021
Цензор.НЕТ (Украина): обращался к Порошенко и в очередной раз обращаюсь к Зеленскому — антигосударственная деятельность Медведчука является угрозой нацбезопасности,,12.01.2021
NoonPost (Египет): Трамп остался один. Три сценария судьбы побежденного президента,,12.01.2021
Главред (Украина): американцы окончательно потеряли свою Америку, | Перейти в фотобанк,12.01.2021
"Прогноз на 2021 год: предварительный обзор по Центральной Азии и Кавказу (Eurasianet, США)","© РИА Новости, Михаил Воскресенский",12.01.2021
Habertürk (Турция): нужна ли России Турция на Кавказе?,"© РИА Новости, Михаил Климентьев",12.01.2021
Foreign Affairs (США): присутствуя при разрушении,"© РИА Новости, Стрингер",12.01.2021
Donya-e Eqtesad (Иран): убедить Россию и Путина активизировать политику на Ближнем Востоке мог только мученик Сулеймани,"© РИА Новости, Стрингер",12.01.2021
"Путин предупреждает: США перейдут под контроль американцев (The New Yorker, США)","© РИА Новости, Наталья Селиверстова",26.11.2020
"Фронтал (Сербия): чего же вы примолкли, наши герои?","© РИА Новости, Сергей Гунеев",26.11.2020
"Financial Times (Великобритания): Билл Браудер угрожает судебными исками швейцарским банкам, связанным со скандальным делом Магницкого","© РИА Новости, Алехандро Мартинез Велез",26.11.2020
"Синьхуа (Китай): на конференции по военной подготовке Центрального военного комитета Си Цзиньпин подчеркнул необходимость всестороннего усиления военной подготовки, повышения уровня подготовки и способности побеждать в военных действиях",,26.11.2020
The Times (Великобритания): в «европейском Гуантанамо» в Сирии подрастает новое поколение боевиков ИГИЛ*,"© AFP 2020, Delil SOULEIMAN",26.11.2020
wPolityce (Польша): польский депутат о запросе российской прокуратуры и заявлениях бывшего судьи, | Перейти в фотобанк,26.11.2020
Foreign Affairs (США): как спасти демократию от технологий,,26.11.2020
CNN (США): Трамп объявляет о помиловании Майкла Флинна в твите,,26.11.2020
"Defence 24 (Польша): как Москва хотела обмануть Варшаву при помощи «польского „Северного потока""»","© РИА Новости, Максим Богодвид",26.11.2020
Корреспондент (Украина): «Северный поток — 2» отказались сертифицировать,,26.11.2020
"Gazeta Wyborcza (Польша): Россия отрицает ответственность за катынское преступление, Украина сообщает о новых захоронениях","© РИА Новости, Илья Питалев",26.11.2020
"Встречайте: президент Джобама (The Spectator, Великобритания)","© flickr.com, Official White House Photo by Pete Souza",26.11.2020
Le Figaro (Франция): прайм-тайм — золотой трамплин для Макрона,"© AFP 2020, THOMAS COEX ",26.11.2020
"Folha de S. Paulo (Бразилия): Джо Байден возвращается, а мифическая Америка — нет",,26.11.2020
Anadolu (Турция): номинанты на Нобелевскую премию мира Нетаньяху и Аль-Нахайян ответственны за гибель тысяч мирных жителей,,26.11.2020
Newsweek (США): белорусский президент в изгнании просит Байдена о помощи в свержении поддержанной Путиным диктатуры, | Перейти в фотобанк,26.11.2020
"Президент Эрдоган: вместе мы продолжим вести борьбу во имя всех наших братьев по всему миру (Anadolu, Турция)",,12.01.2021
Granma (Куба): мир осуждает лицемерное и циничное решение отнести Кубу к государствам-спонсорам терроризма,"© РИА Новости, Павел Герасимов",12.01.2021
The Diplomat (США): финансовый альянс не поможет России и Китаю низложить американский доллар,"© CC0 / Public Domain, Kredite / Pixabay",26.11.2020
"Zham (Армения): Пашинян должен помнить про старую русскую пословицу о том, как жадность фраера сгубила","© РИА Новости, Сергей Гунеев",26.11.2020
"Андерс Игеман: Твиттер правильно сделал, что заблокировал аккаунт Трампа (Dagens Nyheter, Швеция)",,12.01.2021
Foreign Policy (США): российские войска в Нагорном Карабахе — «явная победа Москвы», | Перейти в фотобанк,26.11.2020
"Страна (Украина): Боинг, госпереворот на Майдане, Гиркин, Крым. 10 главных обвинений Давида Жвании против Порошенко и Ко","© РИА Новости, Андрей Стенин",26.11.2020
Дума (Болгария): почему Россия сделала ставку на своего противника — Пашиняна,"© РИА Новости, Сергей Гунеев",26.11.2020
"Американский эксперт: в Ливии воевали иностранцы, а войну выиграли турки (Anadolu, Турция)","© РИА Новости, Михаил Климентьев",26.11.2020
El Nacional (Венесуэла): в Россию и Лос-Рокес,,26.11.2020
Fox News (США): сотрудники издательства пустили слезу негодования из-за книги Джордана Питерсона,"© Wikipedia, Gage Skidmore",26.11.2020
Carnegie Moscow Center (Россия): какое место займет Россия во внешней политике Байдена,,26.11.2020
"Haló noviny (Чехия): гитлеровская жажда русских богатств никуда не делась, и мы в этом участвуем",,26.11.2020
"Хуаньцю шибао (Китай): США и Тайвань терпят поражение в стратегической игре, и материк удерживает инициативу в своих руках","© РИА Новости, Александр Вильф",26.11.2020
Политика (Сербия): Россия присматривается к Африке,"© РИА Новости, Рамиль Ситдиков",26.11.2020
Вести (Украина): Украина будет восстанавливать экономику Афганистана,"© РИА Новости, Стрингер",26.11.2020
"Главред (Украина): Украина для США — это руки, которыми загребают жар","© РИА Новости, Стрингер",26.11.2020
Forbes (США): у американской армии есть сюрприз для российских войск в Крыму,,26.11.2020
"Dagens Nyheter (Швеция): чтобы Европа была в безопасности, нужны и деньги, и американцы","© CC BY-SA 2.0, NATO North Atlantic Treaty Organization Follow",26.11.2020
"После деоккупации Крыма и Донбасса там должна пройти такая же декоммунизация, как и на остальной территории Украины — Минреинтеграции (Гордон, Украина)","© РИА Новости, Сергей Мальгавко",26.11.2020
"Сенатор Коттон: состав кабинета Байдена свидетельствует о возвращении «катастрофической» внешней политики Обамы (Fox News, США)",,26.11.2020
"Джейхун Байрамов: «У нас с Арменией не религиозный конфликт» (Le Point, Франция)", | Перейти в фотобанк,26.11.2020
Синьхуа (Китай): Ван И прокомментировал проблему архипелага Дяоюйдао,,26.11.2020
Politico (США): Байден раскрыл свою команду по национальной безопасности — сплошь функционеры времен Обамы,,26.11.2020
"Le Figaro (Франция): Шурнух — село, разделенное армяно-азербайджанской границей","© РИА Новости, Валерий Мельников",12.01.2021
Le Figaro (Франция): французский Сенат голосует за признание Нагорного Карабаха,"© РИА Новости, Храяр Бадалян / PAN Photo",26.11.2020
"Американская внешняя политика после Трампа: возвращение к старой идее о свержении Путина (Advance, Хорватия)", | Перейти в фотобанк,13.01.2021
Свидетель по делу Бута рассказывает о ключевой московской встрече,,27.10.2011
"Зеленский похвалил президента Молдавии: не боится называть Крым украинским (Українська правда, Украина)",,12.01.2021
The American Conservative (США): посредственные объяснения, | Перейти в фотобанк,13.01.2021
Habertürk (Турция): ход Франции по Нагорному Карабаху и признание ТРСК...,"© РИА Новости, Ирина Калашникова",26.11.2020
Daily Sabah (Турция): в Закавказье брезжит эра соперничества великих держав,"© РИА Новости, Максим Блинов",13.01.2021
