id,article,author,date,text
850,Детей в Москве будут пускать в рестораны только по ПЦР-тесту,Наталия Анисимова,"22 июн, 19:24","Несовершеннолетние смогут посещать рестораны и кафе в Москве, предъявив отрицательный ПЦР-тест на коронавирус. Об этом журналистам заявил руководитель столичного департамента торговли и услуг Алексей Немерюк.«Дети до 18 лет, если им необходимо попасть на некое торжество [в заведение общепита], опять же есть возможность сделать ПЦР. 72 часа он будет действовать», — сказал Немерюк (цитата по «Интерфаксу»).                Мэр Москвы Сергей Собянин , согласно которому с 28 июня общепит смогут посещать только те, кто вакцинировался от коронавируса или переболел COVID-19 за последние полгода, а также люди с отрицательным тестом на коронавирус со сроком действия три дня. ПЦР-тест нужно сделать в одной из лабораторий Москвы, подключенных к системе ЕМИАС. Так называемую защиту от коронавируса будут проверять через QR-коды.              Говоря о возможности для иностранцев ходить в заведения общепита в Москве после вступления указа в силу, глава департамента отметил, что в городе работают большое количество экспатов, которые привились «Спутником V», они также могут получить QR-код.«Если иностранцы были привиты у себя в стране, то они опять же делают ПЦР и также могут по упрощенной форме зарегистрироваться на госпорталах, получить QR-код и посещать рестораны», — сообщил Немерюк.Те, кто приехал в столицу на короткое время, «могут сделать ПЦР-тест и также 72 часа ходить в рестораны», добавил глава департамента.На прошлой неделе в Москве ввели обязательную вакцинацию 60% работающих в сферах услуг, торговли, общепита, транспорта, здравоохранения, ЖКХ, образования и культуры. Вслед за этим власти объявили о запуске в городе эксперимента с «бесковидными» кафе и ресторанами, где должны быть вакцинированы все сотрудники и куда будут пускать только людей, сделавших прививку, или со справкой об антителах.В настоящее время привиться от COVID-19 в России любым из доступных препаратов можно только людям в возрасте от 18 лет. Пока лицам младше этого возраста прививка от коронавирусной инфекции не показана. По словам заммэра Анастасии Раковой, в июле Центр им. Гамалеи  клиническое исследование вакцины «Спутник V» для подростков 12–17 лет.    "
851,Не привившиеся от коронавируса чиновники Ленобласти перейдут на удаленку,Non author,"22 июн, 19:26","Сотрудники администрации Ленинградской области, которые не пройдут вакцинацию от коронавирусной инфекции или не предоставят справку о наличии антител, будут переведены на дистанционную работу,  администрация области в своем Telegram-канале.                           «Распоряжением [губернатора Ленинградской области] Александра Дрозденко с 1 июля все чиновники областной администрации, которые не пройдут вакцинацию от COVID-19 или не представят документы, что у них есть антитела к коронавирусу или же медицинские противопоказания к вакцинации, отправляются на дистанционную работу, что автоматически скажется на их премии», — говорится в сообщении.              18 июня Дрозденко  обязательную вакцинацию для работников предприятий общепита, образования, бытовых услуг и т.п. 1 сентября будет введен запрет на работу организаций из этих сфер в случае, если доля их вакцинированных сотрудников будет меньше 80%. Речь также шла о государственных гражданских и муниципальных служащих.22 июня в регионе  о введении ковид-паспортов для бизнеса. Организации, которые решат выйти из-под действующих ограничений, смогут оформить паспорта, предоставив в районную администрацию документы о количестве сотрудников, которые прошли процедуру вакцинации либо переболели в течение последних шести месяцев (должны иметь антитела), либо имеющих медицинский отвод от прививок. Чтобы получить такой паспорт, привившимися или переболевшими должны быть 80% сотрудников предприятия.По данным оперативного штаба по борьбе с коронавирусной инфекцией, за последние сутки в Ленинградской области COVID-19 был выявлен у 127 человек. За весь период пандемии в регионе зафиксировали 47 476 случаев. Жертвами COVID-19, по подсчетам оперштаба, стали 1672 жителя области.   "
852,Суд назначил обвиняемым в краже алмазов у АЛРОСА до девяти лет тюрьмы,Наталия Анисимова,"22 июн, 19:07","Дорогомиловский суд Москвы вынес приговор обвиняемым в краже алмазов у АЛРОСА. Об этом в Telegram  Генпрокуратура.Бывшую сотрудницу АЛРОСА Елену Канунникову и других фигурантов — гражданина Грузии Владимира Табидзе, жителя Москвы Владимира Гординского, жителей Московской области Евгения Богомолова и Сергея Свиридова — признали виновными в краже (пп. «а», «б» ч. 4 ст. 158 УК), незаконном обороте драгоценных камней (ч. 5 ст. 191 УК) и пособничестве в совершении сделки с нарушением закона (ч. 5 ст. 33 и ч. 4 ст. 191 УК).Канунникова получила девять лет лишения свободы. Богомолову и Гординскому назначили по шесть лет, Табидзе — семь, Свиридову — четыре года. Все они будут отбывать наказание в исправительных колониях общего режима.Также их обязали возместить ущерб АЛРОСА, который, по данным прокуратуры, составил более 713 млн руб.              Суд установил, что Канунникова, работая на алмазодобывающем предприятии, несколько лет выносила алмазы с его территории, «используя доверие, оказываемое ей в силу служебного положения». Богомолов ей помогал, Табидзе и Гординский занимались продажей камней, в том числе иностранцам, а Свиридов выступал в качестве переводчика.По данным Следственного комитета, преступления совершались в 2016–2019 годах. Фигурантов задержали с поличным в июне 2019 года при попытке хищения партии алмазов стоимостью более 22 млн руб.,  ведомство.Как  «Коммерсантъ», Канунникова похитила 1027 алмазов высокого качества, она выносила их с предприятия, спрятав в нижнем белье. На складе, откуда она их забирала, Канунникова заменяла драгоценные камни на так называемое техническое сырье, используемое для производства инструментов. Это сырье женщина приобретала у своего бывшего коллеги, который, уйдя из АЛРОСА, организовал индивидуальное предприятие, связанное с обработкой технических алмазов."
853,Обвиненный в домогательствах экс-учитель школы МГУ подал иск к «Проекту»,Non author,"22 июн, 21:45","Бывший преподаватель физики в Специализированном учебно-научном центре (СУНЦ, школа-интернат) при МГУ Сергей Сергеев подал к изданию «Проект» иск о защите чести, достоинства и деловой репутации,  из картотеки дел Никулинского суда Москвы. Еще одним ответчиком выступает журналистка Юлия Лукьянова.Исковое заявление поступило 21 июня, суть претензий и требования там не приводятся.Иск пока не передан судье, сообщили РБК в пресс-службе инстанции. Там пообещали уточнить требования, если заявление примут в производство, и когда будет вынесен вердикт о рассмотрении дела в открытом или закрытом режиме.РБК обратился за комментарием в «Проект».«МБХ-Медиа» (в 2018 году сайт издания внесли в реестр запрещенной информации, после чего он стал работать с «зеркала»; в марте Роскомнадзор потребовал от Twitter заблокировать аккаунт ресурса из-за «публикации информационных материалов иностранного общественного сетевого движения «Открытая Россия», признанного нежелательным на территории России») со ссылкой на представителя Сергеева Наталью Баязитову , что тот потребовал взыскать с «Проекта» 1 млн руб. компенсации морального вреда. Бывший преподаватель подал еще три иска к выпускникам СУНЦ с требованием опубликовать извинения в «Проекте» и также выплатить компенсацию.              17 июня издание опубликовало расследование Лукьяновой «Физика твердого тела». «Проект», ссылаясь на выпускников школы-интерната, сообщил, что ученики старших классов на протяжении многих лет подвергались сексуальным домогательствам со стороны Сергеева. По данным издания, преподаватель организовывал походы со школьниками, во время которых фотографировал подростков без одежды, осматривал голыми, трогал за гениталии и предлагал сделать массаж. По словам выпускников, некоторые из подобных случаев происходили в гостях у Сергеева и в школьном кабинете.Директор СУНЦ Кирилл Семенов сообщил «Проекту», что не получал от учеников и учителей жалоб на Сергеева. На следующий день после выхода материала он заявил, что преподавателя уволили по п. 8 ч. 1 ст. 81 Трудового кодекса, поводом стало «совершение работником, выполняющим воспитательные функции, аморального проступка, несовместимого с продолжением данной работы»."
854,Частные лаборатории зафиксировали взрывной рост спроса на COVID-анализы,Анна Левинская,"22 июн, 20:55","С прошлой недели в России наблюдается взрывной рост спроса на тесты, связанные с коронавирусным профилем: ПЦР-тестирование и анализы на антитела к вирусу, сообщили РБК представители крупнейших частных лабораторных сетей.По данным директора по связям с общественностью компании «Инвитро» Нины Орешкиной, рост спроса неделя к неделе по «ковидной» группе составил 150%. По ее данным, текущий спрос вырос более существенно, чем во время предыдущей волны пандемии, осенью 2020 года. Из-за роста нагрузки на лаборатории компания начала предупреждать клиентов о задержке результатов анализов. По некоторым тестам она составляет от нескольких часов до одного-двух дней, уточнила Орешкина.              Как отмечает заместитель генерального директора лабораторной службы «Хеликс» Дарья Горякина, у компании растет число заказов как на стандартные исследования, такие как биохимические и общеклинические анализы, так и на тесты, связанные с диагностикой COVID-19. На неделе с 14 по 20 июня количество выполненных заказов в лабораторной службе «Хеликс» увеличилось на 12%.                «С начала июня мы отмечаем перманентный рост спроса на ПЦР-тесты во всех регионах России. За последнюю неделю прирост заказов ПЦР-исследований на COVID-19 по отношению к предыдущей неделе составил 25%. Растет как количество записей в диагностические центры, так и число заказов бесконтактного тестирования на дому через сервис «Сдайнакоронавирус.рф.», — сообщила Горякина. Также на неделе с 14 июня резко вырос спрос на серологические тесты на антитела IgG к коронавирусу. Количество тестов на антитела, выполненных в «Хеликсе», увеличилось почти в два раза по сравнению с предыдущей неделей.Представитель компании «Гемотест» Анна Лисовец подтвердила значительный рост спроса на «ковидный» профиль анализов, не приводя точных данных по динамике показателя. В «Хеликсе» и «Гемотесте», по словам их представителей, обработка и выдача результатов анализов идут в штатном режиме благодаря модернизации лабораторий и увеличению пропускной способности.              Чтобы устранить или минимизировать задержки, все пять центральных лабораторных комплексов «Инвитро» переведены на круглосуточный режим работы. Московская лаборатория, как уточнили в компании, работала 24/7 в штатном режиме, но сейчас там введены дополнительные смены специалистов, также компания привлекла партнерские лаборатории.«Мы рассчитываем, что к четвергу сможем вернуться в штатный режим работы», — говорит Орешкина.Почему растет спрос на анализыПо мнению специалистов «Гемотеста», повышение спроса связано как с публичными сообщениями властей о росте заболеваемости, так и с запуском новых туристических направлений: для поездок зачастую требуется ПЦР-анализ.Так, в частности, в Москве за последние три недели число новых случаев заражения коронавирусом  почти на 100%, заявила ранее заместитель мэра города Анастасия Ракова. Из-за роста заболеваемости COVID-19 многие регионы стали  обязательную вакцинацию.     "
855,В Москве задержали подозреваемых в продаже лжесертификатов о вакцинации,Non author,"22 июн, 21:08","Полиция в Москве задержала трех человек, которые подозреваются в изготовлении и продаже поддельных сертификатов о вакцинации против COVID-19. Об этом  на сайте московского главка МВД.По данным следствия, 23-летний мужчина собственноручно заполнял пустые бланки и проставлял на них печати и штампы различных медицинских учреждений. Затем он отдавал их 19-летнему молодому человеку, который затем передавал их курьеру. Справки продавались от 4 тыс. до 5 тыс. руб.              Полиция района Раменки возбудила три уголовных дела по ч. 1 ст. 327 УК (подделка, изготовление или оборот поддельных документов).Ранее сообщалось, что в Москве  24 уголовных дела за изготовление и сбыт фальшивых справок об отсутствии коронавирусной инфекции и поддельных сертификатов о вакцинации."
856,VK Fest перенесли на конец августа из-за COVID-19,Non author,"22 июн, 19:58","«ВКонтакте» решила перенести VK Fest из-за роста заболеваемости COVID-19 на 28 и 29 августа. Об этом  в официальной группе мероприятия.«Переносим VK Fest. Надеемся на встречу 28 и 29 августа там же — в Парке 300-летия Санкт-Петербурга», — говорится в сообщении.Отмечается, что ранее купленные билеты действительны и на новые даты.              По данным оперативного штаба, в Санкт-Петербурге за прошедшие сутки зафиксировали 1871 случай заражения коронавирусом.Ранее из-за коронавируса фестиваль «Нашествие»  о переносе на 29–31 июля 2022 года. 25 июня будет запущен автоматизированный сервис для тех, кто уже купил билеты. Гости фестиваля смогут их вернуть, перенести на следующий год или же переоформить на другого владельца.Фестиваль VK Fest проводится ежегодно в Санкт-Петербурге. В этом году планировалось выступление следующих участников: Баста, Елка, Ольга Бузова, Artik & Asti, Little Big, Loboda, Niletto, Zivert, Артур Пирожков и др."
857,Путин созвонился с президентом Кубы в 80-ю годовщину начала ВОВ,Non author,"22 июн, 21:35","Президент России Владимир Путин провел телефонные переговоры с президентом Кубы Мигелем Диас-Канелем Бермудесом. Об этом  на сайте пресс-службы Кремля.Стороны обсудили 80-ю годовщину начала Великой Отечественной войны. Президент Кубы выразил чувство поддержки и солидарности и отметил решающий вклад СССР в победу над нацизмом.              «С обеих сторон акцентирована важность отстаивания исторической правды о Великой Отечественной войне и ее героях, а также недопустимость попыток переписывания истории», — говорится в сообщении.Кроме того, лидеры обсудили двусторонние отношения. Путин рассказал Бермудесу об итогах встречи с президентом США Джо Байденом в Женеве, которая прошла 16 июня.Также 22 июня президент провел телефонный разговор с канцлером ФРГ Ангелой Меркель. Путин оценил участие Меркель и федерального президента Франка-Вальтера Штайнмайера в памятных мероприятиях в Германии, посвященных ВОВ."
858,Зеленский посетит Берлин для переговоров с Меркель,Non author,"22 июн, 20:03","Президент Украины Владимир Зеленский посетит Берлин 12 июля, чтобы встретиться с канцлером ФРГ Ангелой Меркель и обсудить с ней вопросы безопасности и сотрудничества двух стран. Об этом он  у себя в Twitter.«В особую дату поговорил с канцлером Германии Ангелой Меркель о том, что мир должен сделать все, чтобы такие трагедии, как Вторая мировая война, не повторялись. Благодарен за приглашение посетить 12 июля Берлин для обсуждения актуальных вопросов безопасности и вопросов сотрудничества Украины и Германии», — написал Зеленский. Телефонный разговор с Меркель был посвящен началу Великой Отечественной войны 80 лет назад.              «Канцлер подчеркнула, что никогда не будут забыты совершенные немцами преступления, которые привели к гибели многих миллионов жителей на Украине, а также в России, Белоруссии и в других бывших советских республиках», — говорится в заявлении пресс-службы канцлера.                           Кроме того, планируется встреча Зеленского с президентом США Джо Байденом. Американский президент  его посетить Вашингтон этим летом в ходе телефонного разговора 7 июня. Президент Украины тогда уточнял, что встреча пройдет в июле, на ней планировалось обсуждать расширение стратегического сотрудничества двух государств."
859,В Петербурге закрыли четыре станции метро из-за ЧП в тоннеле,Non author,"22 июн, 20:13","                В Санкт-Петербурге произошел сбой на второй линии метро из-за пробоя кабеля в тоннеле близ станции «Парнас». Об этом РБК сообщили в комитете по транспорту города.«В связи с пробоем кабеля в фидерной зоне в тоннеле станции «Парнас» останавливается движение поездов», — говорится в сообщении.              Из-за происшествия закрыли станции «Парнас», «Удельная», «Озерки» и «Проспект Просвещения». На место происшествия выехали глава комитета по транспорту Кирилл Поляков и начальник Петербургского метрополитена Евгений Козин.Власти города усилили движение автобусов 139 и 198. Также для перевозки пассажиров к станции «Удельная» отправятся трамваи 55 и 100.Как  «Фонтанка.ру» со ссылкой на МЧС, из-за происшествия эвакуировали 252 человека. Ранее в результате инцидента они оказались заблокированы в тоннелях. Эвакуация завершена.Позднее станцию «Удельная», а затем «Озерки» и «Проспект Просвещения» открыли для пассажиров. Движение по второй линии запустили от «Купчино» до «Проспекта Просвещения». Станция «Парнас» была закрыта для пассажиров, ее открыли около 21:00."
860,Правительство поручило увеличить объем продаж бензина на бирже на 1%,"Людмила Подобедова, ","22 июн, 19:55","Правительство поручило в третьем квартале 2021 года увеличить на 1% минимальный норматив автомобильных бензинов и дизельного топлива, поставляемых на биржу. Об этом по итогам совещания с нефтегазовыми компаниями сообщил вице-премьер Александр Новак, передает корреспондент РБК.ФАС должна будет разработать инструмент по контролю за исполнением поручения со стороны участников топливного рынка. Ведомству поручили вместе с Санкт-Петербургской международной товарно-сырьевой биржей (СПбМТСБ) подготовить предложения по увеличению интервала между размещением на бирже предложения о продаже нефтепродуктов и самой покупкой.Кроме этого, Минэнерго поручено рассмотреть вопросы целесообразности временного запрета экспорта бензина и изучить необходимость заключения с нефекомпаниями соглашений по установлению максимально допустимых индикативных значений региональных оптовых цен.              С марта норма обязательных объемов продаж на бирже бензина составляет 11% от производства, дизтоплива — не менее 7,5%. Таким образом, теперь предлагается увеличить минимальный объем продаж на бирже бензина до 12%, дизтоплива — до 8,5%.По словам источника РБК, близкого к участникам совещания, интервал между размещением на бирже предложения о продаже нефтепродуктов и самой покупкой установят не менее 20 минут. Вице-президент Независимого топливного союза Дмитрий Гусев считает, что эта мера поможет предотвратить возможность «адресных» сделок в рамках тех сессий, где они запрещены. То есть исключить возможность по договоренности приобретать товар в первые секунды после выставления предложения, до того, как его увидят конкуренты. По словам Гусева, в последние несколько лет никакого интервала на торгах не было установлено.              В мае Российский топливный союз попросил Новака проработать варианты мер для снижения оптовых цен на бензин. В числе мер, предложенных объединением, было увеличение объема производства бензина и норм продаж на бирже до 15%, а также ограничение экспорта топлива до 1 октября. В Минэнерго в ответ , что ведомство рассматривает мораторий на экспорт топлива как крайнюю меру, и заверили, что текущий уровень производства полностью удовлетворяет спрос.В середине июня стоимость дизельного топлива на СПбМТСб достигла максимума за всю историю наблюдений с 2018 года: с начала мая она выросла на 5%, до 52,6 тыс. руб. за тонну,  «Коммерсантъ». В Минэнерго , что внутренний рынок дизельного топлива находится в стабильном состоянии, однако зависит от изменения цен на нефть и экспортных цен на рынках Европы и Азиатско-Тихоокеанского региона.О решении правительства увеличить норматив продаж бензина и дизтоплива на бирже еще на 1% Новак  16 июня. Он заявил также, что власти следят за тем, чтобы цены на АЗС для потребителей не росли выше инфляции, и пока такая динамика соблюдается."
861,Москалькова предложила принимать заявления о преступлениях онлайн,Елизавета Ламова,"22 июн, 21:59","Уполномоченный по правам человека в России Татьяна Москалькова предложила разработать автоматизированную систему «Доступ к правосудию», позволяющую заявить о преступлении онлайн. Об этом говорится в резолюции круглого стола «Обеспечение доступа к правосудию в уголовном судопроизводстве в условиях развития цифровых технологий», который проводился омбудсменом.Москалькова также предложила разрешить вести уголовные дела в электронном виде. Ведение дела в таком формате предполагает, что сотрудник может провести некоторые процессуальные действия в режиме онлайн, например допросить потерпевшего или свидетеля по видео-конференц-связи. Это потребует внесения изменений в Уголовно-процессуальный кодекс и разработки закона «Об электронном уголовном деле». Предложения по совершенствованию законодательной базы включены в резолюцию.              «Электронное правосудие и электронное следствие помогут существенно облегчить эту работу — контроль и проверку. То есть первое, что мы могли бы получить в результате развития электронного следствия, — быстрота, дополнительные гарантии для принципа [разумности] сроков и усиление контроля, усиление контроля со всех сторон», — аргументировала свое предложение Москалькова.По мнению омбудсмена, подача заявлений о преступлениях онлайн поможет решить проблему несвоевременной регистрации и отказа в их принятии. «Чем дольше решается вопрос о возбуждении уголовного дела, тем больше риск потери доказательств», — пояснила она. Кроме того, к электронному делу могут легче и быстрее получить доступ контролирующие органы и омбудсмены, что приведет к большей прозрачности системы. Чтобы не допустить злоупотреблений, сервис по подаче заявлений должен включать предупреждение об уголовной ответственности за заведомо ложный донос.Онлайн-заявления позволят сообщить о преступлении маломобильным гражданам и жертвам домашнего насилия, которые часто не могут выйти из дома, отметила уполномоченный по правам человека в Рязанской области Наталья Епихина. В то же время, по ее мнению, есть риск, что с системой не смогут работать пожилые люди.Цифровизация позволит не останавливать уголовное производство при пандемии или других экстренных ситуациях, считает профессор кафедры уголовно-процессуального права МГЮА Лариса Масленникова. Нынешняя система с этим не справилась. «Если образовательные процессы мы достаточно быстро перевели на дистанционные формы, то перевести досудебное производство на дистанционное участие людей в уголовном судопроизводстве возможности не было», — отметила она.За 2020 год в аппарат уполномоченного поступило 44 тыс. обращений, из них 11 тыс. были связаны с правами участников уголовного судопроизводства, заявила Москалькова на круглом столе. Чаще всего граждане жалуются на отказы в возбуждении уголовных дел.«Большое количество людей остаются неудовлетворенными, что им отказали в возбуждении уголовного дела, а стало быть, не поверили, что в их отношении было совершено преступление, не ищут преступника, который причинил им физический, моральный или материальный вред», — отметила Москалькова.              Ранее Госдума  закон, разрешающий участвовать в судебном процессе по веб-конференц-связи. Подать исковые заявления, жалобы, представления можно через портал госуслуг. В апреле прошлого года Верховный суд России  проводить заседания онлайн из-за пандемии."
862,Число пострадавших в Ялте в результате наводнения превысило 50 человек,Non author,"22 июн, 21:53","Число пострадавших в результате ливней и последовавшего наводнения в Ялте выросло до 54 человек. Об этом  мэр города Янина Павленко во время заседания оперативного штаба.«У нас обратились за медицинской помощью 54 человека пострадавших, по-прежнему остается шесть госпитализированных, 48 оказана амбулаторная помощь, серьезных угроз здоровью нет», — сказала Павленко.              Она отметила, что в результате наводнения в Ялте погиб один человек. Еще один человек пропал без вести, спасательные службы заняты поиском.Из-за обрушившихся на город дождей 18 июня  из берегов река Водопадная, которая подтопила дома и территорию «Крымэнерго», а также затопила подземные переходы города. Власти Ялты ввели в городе режим ЧС и объявили об эвакуации горожан."
863,Минобороны решило вакцинировать всех призывников,Георгий Тадтаев,"22 июн, 14:46","Минобороны намерено привить от COVID-19 всех призывников, попавших в армию по итогам весеннего призыва. Вакцинацию призывников намерены завершить до 15 июля, ее ведут в первоочередном порядке, сообщил замминистра обороны Тимур Иванов, передает .В этот весенний призыв в армию планируется призвать 134 тыс. человек.По словам министра обороны Сергея Шойгу, в армии вакцинированы уже 910 тыс. человек. «Мы получили уже более миллиона доз вакцины, у нас 910 тыс. вакцинированных. Мы завершили еще месяц назад вакцинацию в наших основных подразделениях», — сообщил он. После того как прививки получили части ВДВ, ВМФ, Сил специальных операций и ВВС, Минобороны перешло к вакцинации семей военнослужащих, рассказал министр.                Привиты и все военнослужащие за рубежом. Командующий войсками в Сирии генерал-лейтенант Евгений Никифоров доложил, что санитарно-эпидемиологическая обстановка в российских подразделениях в Сирии стабильная. «Проведена стопроцентная вакцинация личного состава, в результате чего сформирован коллективный иммунитет. Заболевших новой коронавирусной инфекцией нет», — сказал он. О полной вакцинации личного состава также сообщил командующий миротворческим контингентом в Нагорном Карабахе генерал-лейтенант Рустам Мурадов. Обязательная вакцинация всех военнослужащих предусмотрена постановлением главного санитарного врача Министерства обороны от 18 июня. Она введена также для работников Минобороны, задействованных на социально важных объектах, а также отдельных категорий федеральных гражданских служащих.По словам Иванова, сейчас в резерве у Минобороны 12 мобильных госпиталей на 100 койко-мест каждый и 94 врачебно-сестринских бригад. Их задействуют для оказания медицинской помощи гражданскому населению. Кроме того, Минобороны предоставляет для гражданских, больных COVID, места в военных госпиталях. При необходимости будет развернуто более 12 тыс. койко-мест.     "
